system:index,VH_diss,VV_asm,VV_contrast,VV_corr,VV_ent,date,location,.geo
0,14.762537878787883,0.005492286501377394,323.15003787878794,0.2282507680539425,5.245662814154489,2024-01,Location_1,"{""type"":""Point"",""coordinates"":[113.58901680000001,-8.1857279]}"
1,14.557916666666669,0.005329011707988964,315.13696969696974,0.16207265071215568,5.266601615873314,2024-01,Location_2,"{""type"":""Point"",""coordinates"":[113.7398625,-8.3679883]}"
2,18.145113636363643,0.005227530991735521,551.3647348484848,0.2563859356772618,5.282973250140836,2024-01,Location_3,"{""type"":""Point"",""coordinates"":[113.4271599,-8.0869809]}"
3,19.053068181818183,0.00538200757575756,442.29049242424236,0.2772494448482783,5.261014587369934,2024-01,Location_4,"{""type"":""Point"",""coordinates"":[113.7848458,-8.174720900000002]}"
4,18.800568181818182,0.005141115702479322,608.5004166666666,0.47369920732841037,5.294935487694951,2024-01,Location_5,"{""type"":""Point"",""coordinates"":[113.7331134,-8.2720625]}"
5,16.47526515151515,0.005388636363636346,390.15939393939385,0.12592993529687183,5.259921131281161,2024-01,Location_6,"{""type"":""Point"",""coordinates"":[113.59003130000002,-8.195598600000002]}"
6,15.993750000000006,0.005458832644628083,339.27405303030304,0.18939343553440083,5.251623066972074,2024-01,Location_7,"{""type"":""Point"",""coordinates"":[113.7496935,-8.2425728]}"
7,16.926931818181824,0.005267768595041307,477.20821969696976,0.3256322169162507,5.2757768933891995,2024-01,Location_8,"{""type"":""Point"",""coordinates"":[113.6080524,-8.1448339]}"
8,15.679318181818184,0.0052867079889807,408.92837121212125,0.31476836980396744,5.2718424262219985,2024-01,Location_9,"{""type"":""Point"",""coordinates"":[113.67497800000001,-8.1956235]}"
9,15.712575757575761,0.005338498622589515,319.06693181818184,0.2953162358672257,5.266300960002368,2024-01,Location_10,"{""type"":""Point"",""coordinates"":[113.7422956,-8.2389905]}"
10,19.147121212121213,0.005175723140495851,560.1738636363635,0.3137153815075197,5.2888678833814575,2024-01,Location_11,"{""type"":""Point"",""coordinates"":[113.758578,-8.113303]}"
11,16.953295454545458,0.005292407024793372,407.95181818181817,0.3659582593956641,5.273023927097955,2024-01,Location_12,"{""type"":""Point"",""coordinates"":[113.6962649,-8.3182875]}"
12,15.376590909090913,0.005420609504132215,313.82140151515154,0.13190381098371542,5.254248624474194,2024-01,Location_13,"{""type"":""Point"",""coordinates"":[113.7003261,-8.3856748]}"
13,15.466856060606062,0.005342871900826429,356.64617424242425,0.2751682241488087,5.265484470693115,2024-01,Location_14,"{""type"":""Point"",""coordinates"":[113.68408160000001,-8.2495584]}"
14,16.212878787878793,0.005240754132231388,358.8247727272726,0.251757388766095,5.27913504050832,2024-01,Location_15,"{""type"":""Point"",""coordinates"":[113.7114955,-8.331275199999999]}"
15,16.404772727272732,0.005336897382920094,379.40625,0.2745663929326057,5.266084479832622,2024-01,Location_16,"{""type"":""Point"",""coordinates"":[113.736821,-8.089540999999999]}"
16,16.34363636363637,0.005305526859504116,516.2407196969698,0.28204497760609454,5.273242736463525,2024-01,Location_17,"{""type"":""Point"",""coordinates"":[113.58877470000002,-8.1615345]}"
17,15.804090909090911,0.005437637741046816,363.9172348484849,0.1626029747913271,5.251386766796883,2024-01,Location_18,"{""type"":""Point"",""coordinates"":[113.58720160000001,-8.174673800000003]}"
18,15.057386363636368,0.0055762396694214724,271.0663636363637,0.1666333427677542,5.235266633039528,2024-01,Location_19,"{""type"":""Point"",""coordinates"":[113.6691702,-8.4131624]}"
